Country,CM Law,CM Practice,HR Law,HR Attitudes,HR Practice,Divorce Law,Inheritance Law
  Timor-Leste,0.75,8,0.25,..,1.27,0.25,0.25
  Togo,0.5,13.8,0.75,..,..,1,0.25
  Trinidad and Tobago,0.25,2.2,0.5,37.3,..,0,0
  Tunisia,0.5,3.8,1,76.7,7.49,0.75,1
  Turkmenistan,0.25,6.2,0.5,..,..,0.25,0.25
  Uganda,0.5,22.8,0.5,..,3.88,0.75,0.5
  Ukraine,0.5,7.2,0.5,36.2,..,0,0
  United Arab Emirates,0.5,6.8,1,..,..,1,1
  Uruguay,0.75,12,0.5,33.7,2.32,0,0
  Uzbekistan,1,5,0.5,35,..,0.25,0.25
  Venezuela,0.5,16.4,0.5,..,..,0.75,0
  Viet Nam,0.25,10.3,0.25,..,1.48,0.25,0.25
  Yemen,0.75,17.2,1,83.2,..,1,1
  Zambia,0.5,18.6,0.5,..,..,0.25,0.5
  Zimbabwe,0.5,22.9,0.75,25.5,1.93,0.25,0.25
Data extracted on 07 Mar 2023 16:32 UTC (GMT) from OECD.Stat,,,,,,,
